,0
000,10455
000 apto,1084
000 departament,5225
000 departament vent,5224
100,1293
200,803
2amb,1211
3amb,1406
4amb,760
500,898
900,874
abiert,991
air,1338
almagr,5229
alto,2377
amb,20614
amb balcon,2103
amb cocher,1676
amb dep,960
amb pati,890
ambient,47202
ambient balcon,3404
ambient belgran,883
ambient cocher,2797
ambient dependent,1465
ambient estren,1181
ambient frent,1255
ambient lumin,771
ambient palerm,972
ambient pati,1460
ambient terraz,893
ambient vent,8353
ambient vent almagr,1812
ambient vent palerm,1536
ambient vent vill,2056
ambient vent vill cresp,1770
ambient vill,1448
ameniti,5407
ampli,2461
apto,4653
apto prof,1465
apto profesional,2047
aterraz,729
av,5012
baj,1767
baj expens,901
balcon,14148
balcon cocher,919
balcon frent,836
balcon terraz,1798
balvaner,2285
ban,1210
barrac,930
barri,3208
barri nort,2673
bauler,2559
belgran,12639
belgran capital,4948
belgran capital federal,4946
boed,1214
buen,2012
buen air,1273
caballit,6663
caballit capital,1221
caballit capital federal,1221
canit,1527
capital,20189
capital federal,20165
capital federal buen,1204
capital federal buen air,1204
cas,1633
cas ambient,825
categor,1113
categori,849
chacabuc,955
chic,1093
coch,2080
cocher,14137
cocher bauler,1436
cocher fij,988
coghl,1102
colegial,2277
congres,813
contrafrent,979
cresp,5105
cristobal,1864
cristobal capital,997
cristobal capital federal,996
cubiert,794
dep,2197
departament,74567
departament almagr,814
departament amb,2923
departament ambient,18581
departament ambient balcon,1355
departament ambient cocher,770
departament ambient vent,6778
departament ambient vent almagr,1682
departament ambient vent palerm,1307
departament ambient vent vill,1739
departament belgran,1850
departament caballit,1104
departament monoambient,1846
departament palerm,2242
departament recolet,1352
departament vent,28885
departament vent ambient,919
departament vent belgran,4388
departament vent belgran capital,4234
departament vent caballit,1220
departament vent caballit capital,1022
departament vent palerm,1750
departament vent palerm capital,1414
departament vent recolet,726
departament vent san,1199
departament vent san cristobal,959
departament vent ubic,2266
departament vent usd,796
departament vent vill,1824
departament vent vill urquiz,772
departament vill,1909
dependent,3139
dept,5939
dept amb,2229
dept ambient,1111
dept tip,774
devot,1584
divis,1269
dormitori,1925
dos,2469
dos ambient,1742
dpto,1772
dpto amb,845
duplex,2806
edifici,1893
emprend,966
espectacul,1166
estren,6459
excelent,7711
excelent ambient,802
excelent departament,1092
excelent ubic,760
expens,2342
federal,20178
federal buen,1204
federal buen air,1204
fij,1251
flor,2768
florest,972
frent,5208
frent balcon,1278
full,1031
full ameniti,856
gran,1331
hermos,2946
hollywood,1986
impec,2170
jardin,971
juan,770
lavader,1026
libert,1116
liniers,891
lumin,5607
lur,894
luz,1062
m2,3544
mader,1629
matader,897
monoambient,9163
monoambient balcon,834
monoambient estren,742
monoambient vent,1185
monserrat,729
mts,808
nort,3447
nuev,2237
nunez,3017
oportun,4649
palerm,14411
palerm capital,1810
palerm capital federal,1810
palerm chic,907
palerm hollywood,1943
palerm soh,1075
parqu,3797
parrill,2864
pati,6471
pb,957
ph,12066
ph amb,2067
ph ambient,2855
ph vent,1769
pilet,881
pis,5974
pis alto,1817
plant,745
plaz,739
poz,1484
prof,1767
profesional,2135
propi,1727
puert,1490
puert mader,1437
pueyrredon,1159
recicl,3335
recolet,6191
recolet capital,878
recolet capital federal,878
rent,1002
retas,1411
retir,783
rio,735
saavedr,1771
san,4812
san cristobal,1856
san cristobal capital,997
san cristobal capital federal,996
san telm,1548
sant,845
semipis,3229
semipis ambient,841
soh,1153
sol,786
suit,1292
sup,1123
telm,1549
terraz,7183
terraz propi,1080
tip,1960
tip cas,1188
tip cas ambient,782
torr,3216
total,734
tres,1090
tres ambient,907
ubic,5036
unic,791
urquiz,4454
urquiz capital,1005
urquiz capital federal,1002
usd,1551
vent,72100
vent almagr,2375
vent amb,1910
vent ambient,3623
vent balvaner,797
vent barri,966
vent barri nort,866
vent belgran,4911
vent belgran capital,4313
vent belgran capital federal,4313
vent caballit,1750
vent caballit capital,1040
vent caballit capital federal,1040
vent colegial,958
vent departament,9339
vent departament amb,1134
vent departament ambient,5325
vent dept,1968
vent dept amb,888
vent flor,787
vent monoambient,1888
vent palerm,3875
vent palerm capital,1472
vent palerm capital federal,1472
vent ph,2173
vent ph ambient,978
vent recolet,1150
vent san,1422
vent san cristobal,1068
vent san cristobal capital,957
vent ubic,3560
vent usd,932
vent vill,4627
vent vill cresp,2473
vent vill urquiz,1080
vent vill urquiz capital,769
vill,14546
vill cresp,4945
vill devot,1182
vill lur,863
vill parqu,1275
vill pueyrredon,847
vill urquiz,3907
vill urquiz capital,1005
vill urquiz capital federal,1002
vist,3291
vist abiert,884
zon,1316
